age,fnlwgt,education,education.num,marital.status,occupation,capital.gain,capital.loss,hours.per.week,is_US,is_White,is_Male,income
45,275995,12,13,5,9,0,0,50,1,1,1,1
40,237293,14,15,5,13,15024,0,40,1,1,0,1
54,136224,13,14,3,13,0,0,30,1,1,0,0
53,608184,12,13,5,12,0,1902,40,1,0,1,1
30,341346,6,7,5,11,0,0,40,1,1,1,0
61,123273,2,3,3,5,0,1876,56,1,1,1,0
23,273206,12,13,0,3,0,0,23,1,1,0,0
60,40856,10,11,5,10,0,0,46,1,1,1,1
52,167527,6,7,4,0,0,0,40,1,0,0,0
45,123088,8,9,5,10,0,0,50,1,1,1,0
29,29616,8,9,0,4,0,0,65,1,1,1,0
42,212894,12,13,5,11,0,1887,40,1,1,1,1
53,151580,9,10,5,13,15024,0,40,1,1,1,1
52,334273,11,12,5,11,0,0,40,1,1,1,1
43,191547,8,9,5,4,0,0,40,0,1,1,0
65,209280,13,14,5,13,6514,0,35,1,1,1,1
22,235733,8,9,0,0,0,0,45,1,1,0,0
53,111939,12,13,5,0,0,0,35,1,1,1,0
66,197816,12,13,5,12,10605,0,40,1,1,1,1
61,147280,13,14,5,12,0,0,60,1,1,1,1
42,165599,8,9,5,1,0,0,40,1,1,1,1
29,51944,8,9,5,0,4386,0,40,1,1,0,1
50,174855,8,9,3,12,0,0,40,1,1,0,0
24,283613,12,13,5,13,0,0,40,1,1,1,0
66,102640,8,9,4,13,0,0,35,1,0,0,0
45,174533,9,10,5,5,7298,0,50,1,1,1,1
50,34832,12,13,5,9,15024,0,40,1,1,1,1
40,71738,13,14,5,12,0,0,46,1,1,1,1
39,52645,9,10,3,11,0,0,40,1,1,0,0
40,175686,9,10,3,3,0,0,40,1,1,0,0
54,163815,13,14,3,11,0,0,60,1,1,1,0
61,162397,12,13,5,11,0,0,40,1,1,1,1
56,170217,8,9,5,10,0,0,40,1,1,1,0
26,175044,9,10,0,7,0,0,40,1,1,1,0
43,233851,8,9,5,3,0,0,40,1,1,0,1
39,257942,12,13,5,11,0,0,60,1,1,1,1
40,195394,11,12,5,13,7688,0,40,1,1,1,1
57,300104,8,9,5,10,0,0,84,1,1,1,1
24,220944,9,10,5,10,0,0,60,1,1,1,0
45,474617,8,9,3,11,5455,0,40,1,0,1,0
59,99248,9,10,3,0,0,0,40,1,1,1,0
61,95450,12,13,5,12,5178,0,50,1,1,1,1
35,144322,11,12,3,12,0,0,50,1,1,0,0
24,200679,8,9,0,4,0,0,50,1,0,1,0
29,167716,8,9,3,0,0,0,99,1,1,0,0
44,118212,12,13,5,12,99999,0,70,1,1,1,1
51,48343,13,14,5,12,7298,0,50,1,1,1,1
28,96337,9,10,0,3,0,0,40,1,1,0,0
19,97261,7,8,0,1,0,0,40,1,1,1,0
21,197997,9,10,0,3,0,0,30,1,1,1,0
31,147284,15,16,5,13,0,1977,99,1,1,1,1
45,252079,9,10,5,13,0,0,50,1,1,1,1
44,192381,12,13,5,13,0,1848,40,1,1,1,1
34,144949,5,6,5,10,0,0,45,1,1,1,1
21,204425,9,10,0,12,0,0,20,1,1,0,0
61,268797,8,9,5,0,0,0,17,1,0,0,0
54,129972,10,11,5,7,0,0,38,1,1,1,1
41,198965,8,9,5,2,0,0,40,1,1,1,0
56,179641,8,9,0,13,0,0,45,1,1,0,0
30,72630,12,13,0,13,0,0,50,1,1,1,0
30,110239,5,6,5,5,0,0,55,1,1,1,0
45,155659,12,13,5,13,0,0,60,1,1,1,1
38,186959,12,13,5,13,0,0,50,1,1,1,0
32,200323,14,15,0,13,0,0,60,1,1,1,0
33,182556,12,13,5,12,0,0,40,1,1,1,1
34,123084,6,7,5,2,0,0,40,1,1,0,0
54,143822,9,10,5,10,0,0,45,1,1,1,1
55,208019,2,3,5,2,0,0,40,0,1,1,0
43,137126,9,10,5,12,0,0,40,1,1,1,1
23,102942,12,13,0,13,0,2258,40,1,1,0,1
44,43711,12,13,0,0,0,0,48,1,1,1,0
35,89508,9,10,5,12,3908,0,60,1,1,1,0
33,149726,8,9,5,11,0,0,40,1,1,1,1
58,147428,13,14,5,13,0,0,40,1,1,1,1
46,46537,13,14,0,13,0,0,40,1,1,0,0
39,132879,9,10,5,12,0,0,50,1,1,1,1
35,187625,9,10,0,0,0,0,65,1,1,0,0
22,409230,7,8,0,5,0,0,40,1,1,1,0
38,226357,8,9,5,10,0,0,40,1,1,1,0
36,162256,8,9,3,12,0,0,40,1,1,0,0
43,284403,11,12,5,11,0,0,60,1,0,1,0
44,176063,12,13,5,12,0,0,45,1,1,1,0
52,101017,8,9,3,12,0,0,38,1,1,1,0
34,70466,10,11,3,10,0,0,40,1,1,1,0
42,196029,12,13,5,5,0,0,48,1,1,1,1
53,346754,9,10,5,12,0,0,40,1,1,0,1
39,135500,8,9,5,12,0,1977,40,1,1,1,1
46,251243,9,10,3,12,0,0,40,1,1,0,0
35,186845,14,15,5,13,0,0,45,1,1,1,1
35,101509,9,10,3,12,0,0,40,1,1,0,0
43,86750,10,11,5,10,0,0,99,1,1,1,0
34,212064,8,9,2,3,7443,0,35,1,1,0,0
39,239119,13,14,3,13,0,0,40,0,0,1,0
37,326886,8,9,5,5,0,0,40,1,1,1,0
44,377018,10,11,5,10,0,0,40,1,1,1,1
68,165017,8,9,5,13,0,0,40,0,1,1,1
33,618191,8,9,0,12,0,0,40,1,1,0,0
41,151504,12,13,5,12,7688,0,50,1,1,1,1
36,223433,13,14,5,11,7688,0,50,1,1,1,1
21,276840,7,8,0,0,0,0,20,1,0,1,0
67,171584,12,13,5,7,6514,0,7,1,1,1,1
46,96080,4,5,2,10,0,0,40,1,1,0,0
52,132178,12,13,5,12,0,0,50,1,1,1,1
39,236391,8,9,5,5,0,0,50,1,1,1,1
24,89347,6,7,0,2,0,0,40,1,1,0,0
50,219420,8,9,5,11,0,0,50,1,1,1,1
36,246449,9,10,5,12,0,0,60,1,1,1,1
37,290609,8,9,3,3,0,0,40,1,0,0,0
23,340543,12,13,0,12,0,0,38,1,1,0,0
36,185203,8,9,0,11,0,0,40,1,1,0,0
42,141459,8,9,2,0,0,0,40,1,0,0,0
45,358242,12,13,5,13,0,0,45,1,1,1,1
43,117158,12,13,5,11,15024,0,60,1,1,1,1
30,323069,12,13,0,11,0,0,40,1,1,0,0
28,37359,12,13,5,11,0,0,60,1,1,1,1
46,188293,8,9,3,3,0,0,40,1,1,0,0
55,116878,15,16,5,13,15024,0,30,1,1,1,1
46,53893,9,10,5,9,0,0,40,1,1,1,1
34,251421,8,9,5,10,0,0,40,1,1,1,0
46,176319,8,9,5,11,7298,0,40,1,1,0,1
47,191277,9,10,5,11,0,0,50,1,1,1,1
33,174789,9,10,0,2,0,0,40,1,1,1,0
48,369522,12,13,5,12,0,0,25,1,1,0,1
34,341051,13,14,5,3,0,0,50,1,1,1,1
22,157145,10,11,0,10,0,0,50,1,1,1,0
47,192894,12,13,5,12,0,1902,45,1,1,1,1
43,144371,8,9,5,1,0,0,42,1,1,1,1
62,109190,12,13,5,12,15024,0,40,1,1,1,1
25,199224,12,13,5,13,0,0,45,1,1,1,1
61,379885,15,16,5,13,0,1902,40,1,1,1,1
31,484669,9,10,0,9,0,0,40,1,1,1,0
35,129597,9,10,5,11,0,0,46,1,1,1,0
51,199995,4,5,5,10,0,0,50,1,1,1,1
36,109133,8,9,5,10,0,0,40,1,1,1,0
